"PID","lebe_cont","cand_rightwing","cand_change_R","cand_exp","cand_change","cand_econ","cand_cult","mob","soccon","lonely","selfplacement","mob_1R","mob_2","mob_3R","mob_4","mob_5","mob_6","mob_7R","mob_8R","soccon_1","soccon_2","soccon_3","soccon_4R","soccon_5","lonely_1","lonely_2","lonely_3","lebecool_self","lebecool_white","lebecool_black","lebecool_asian","lebecool_latino","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","att_1","att_2","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"QQ272er",10,4,3,5,5,5,3,5.5,4,4,3,6,5,5,6,6,4,6,6,4,3,5,3,5,1,1,2,50,50,50,50,50,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,23,"woman","multiracial","GED","$40,001-$60,000",3,2,0,0,0,0,1,NA
"TR230oa",65,6,6,2,2,6,6,4.875,5.2,9,3,4,5,5,5,5,5,5,5,6,5,5,5,5,3,3,3,52,57,50,69,42,6,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,43,"man","White","2yearColl","$40,001-$60,000",3,3,1,1,0,0,1,"na"
"SA087cf",60,1,3,5,5,1,1,3,5.8,6,5,3,3,3,3,3,3,3,3,6,6,6,5,6,2,2,2,60,90,71,75,65,2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,59,"woman","White","4yearColl","$20,001-$40,000",2,4,1,0,0,0,1,NA
"CR226id",75,5.5,4,2,4,6,5,4.5,4.8,6,4.5,5,5,4,5,5,4,4,4,5,5,5,4,5,2,2,2,60,60,73,86,73,6,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,53,"man","White","4yearColl","$20,001-$40,000",2,4,1,1,0,0,1,NA
"OT808fz",20,2.5,3,4,5,3,2,4.625,3.4,5,4,6,3,6,4,3,5,5,5,2,5,5,3,2,2,2,1,29,74,36,79,19,3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,66,"man","White","GED","$0-$20,000",1,2,1,1,0,0,1,"NONE"
"YN573xe",43,2.5,4,3,4,3,2,2.75,3.2,8,2,3,2,3,3,3,4,2,2,4,3,4,2,3,3,2,3,66,90,43,57,39,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,37,"man","White","GED","$40,001-$60,000",3,2,1,1,0,0,1,NA
"AT614wh",0,4,4,5,4,4,4,5.625,2.2,3,2.5,6,6,5,5,6,5,6,6,2,2,2,3,2,1,1,1,79,95,63,63,79,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,65,"man","Black or African American","2yearColl","$40,001-$60,000",3,3,0,1,0,0,1,NA
"GW569uu",55,4.5,1,6,7,6,3,5.25,4,6,4,5,5,6,5,5,5,6,5,4,3,5,4,4,2,2,2,55,90,65,75,45,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,20,"woman","Asian","2yearColl","$60,001-$80,000",4,3,0,0,0,0,1,NA
"XO097bb",75,4,4,4,4,4,4,4.25,4.6,6,3,4,5,3,5,5,5,3,4,5,5,5,3,5,2,2,2,66,85,55,60,70,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,65,"man","White","4yearColl","$20,001-$40,000",2,4,1,1,0,0,1,NA
"MQ393hc",39,6.5,4,4,4,6,7,6.125,1.4,3,4,7,6,7,6,5,6,6,6,2,1,1,2,1,1,1,1,27,89,54,39,20,6,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,80,"woman","White","2yearColl","$20,001-$40,000",2,3,1,0,0,0,1,NA
"DG626bv",47,5,3,3,5,5,5,4.25,3.2,3,2,5,3,5,3,3,5,5,5,4,3,3,3,3,1,1,1,52,50,48,54,48,5,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,57,"man","White","4yearColl","$20,001-$40,000",2,4,1,1,0,0,1,NA
"VZ703cr",67,1,3,4,5,1,1,3.25,4.4,6,3,3,3,3,3,3,3,5,3,5,4,5,3,5,2,2,2,50,80,21,65,39,2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,62,"woman","White","MA","$40,001-$60,000",3,5,1,0,0,1,0,"none"
"KN412uz",91,1.5,7,2,1,1,2,5.625,5,6,5,6,4,6,5,5,6,6,7,5,6,5,4,5,2,2,2,22,57,32,49,42,3,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,57,"man","Black or African American","MA","$80,001-$100,000",5,5,0,1,0,0,1,NA
"VP305nh",15,3,2,6,6,5,1,5.5,1.2,3,2,5,6,5,6,4,6,6,6,1,1,1,2,1,1,1,1,80,95,45,70,56,2,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,30,"man","Asian","MA","$80,001-$100,000",5,5,0,1,1,0,0,"thank you"
"CF242ms",57,3,6,4,2,2,4,4.125,4.2,7,5,5,5,5,3,4,3,3,5,4,4,5,5,3,3,2,2,0,100,7,38,50,3,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,32,"man","White","GED","$40,001-$60,000",3,2,1,1,0,0,1,"no"
"ZW699ue",39,2,5,5,3,2,2,4.875,3.2,6,1.5,5,5,5,4,5,5,5,5,3,3,4,2,4,2,2,2,68,68,50,56,24,2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,1,31,"woman","White","MA","$140,001-$160,000",8,5,1,0,0,1,0,NA
"IM264cc",100,4,1,4,7,7,1,6,7,6,5,6,6,6,6,6,6,6,6,7,7,7,7,7,2,2,2,25,75,50,40,40,1,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,40,"woman","White","GED","$0-$20,000",1,2,1,0,0,0,1,NA
"IV730zc",40,3,4,5,4,4,2,4.875,4.4,6,3,4,5,5,5,5,6,4,5,4,4,5,4,5,2,2,2,40,77,23,45,33,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,45,NA,"White","GED","$20,001-$40,000",2,2,1,NA,0,0,1,NA
"VN462zj",41,4.5,1,3,7,6,3,3.125,6.4,8,3,5,2,5,2,2,3,3,3,7,6,7,5,7,3,2,3,64,81,4,95,12,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,57,"man","White","4yearColl","$60,001-$80,000",4,4,1,1,0,0,1,NA
"EZ511vd",62,5,7,1,1,3,7,3.5,5.2,7,1,3,5,3,3,3,3,5,3,5,5,6,4,6,2,2,3,46,45,41,37,28,5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,30,"man","White","2yearColl","$40,001-$60,000",3,3,1,1,1,0,0,NA
"OK102hx",27,6.5,5,4,3,6,7,5.75,2.6,3,1,6,6,6,5,6,5,6,6,3,1,2,2,5,1,1,1,77,59,49,54,43,6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,1,50,"man","White","2yearColl","$180,001-$200,000",10,3,1,1,1,0,0,NA
"IG153ms",73,4.5,5,2,3,3,6,2.875,4.6,8,2,3,2,3,3,3,3,3,3,5,5,5,3,5,3,2,3,35,73,24,16,29,5,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,42,"woman","White","4yearColl","$60,001-$80,000",4,4,1,0,0,0,1,NA
"FW455cl",61,5.5,6,4,2,4,7,5.5,3.2,5,5,6,5,6,5,5,6,5,6,5,3,3,3,2,2,1,2,25,84,41,55,33,4,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,49,"woman","White","GED","$0-$20,000",1,2,1,0,0,0,1,NA
"VC370lp",55,6.5,7,6,1,6,7,5.5,1.8,3,4,5,6,6,6,7,3,5,6,2,2,2,2,1,1,1,1,22,85,20,60,25,4,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,1,23,"man","Black or African American","4yearColl","$40,001-$60,000",3,4,0,1,0,0,1,NA
"PK487oo",40,2,4,5,4,1,3,5.5,5,4,3,6,5,6,6,5,5,6,5,4,5,5,5,6,1,1,2,60,89,54,65,55,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,56,"man","White","GED","$40,001-$60,000",3,2,1,1,0,0,1,NA
"AR658sa",0,4.5,4,4,4,4,5,4.75,2,3,3,5,5,5,5,5,5,4,4,2,2,2,2,2,1,1,1,33,56,20,37,27,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,36,"man","White","2yearColl","$60,001-$80,000",4,3,1,1,0,0,1,NA
"XL581dy",32,4,2,5,6,2,6,5.875,2.4,3,2.5,6,6,6,6,6,6,5,6,3,2,2,2,3,1,1,1,47,51,46,45,47,6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,1,29,"man","Black or African American","PHD","$140,001-$160,000",8,6,0,1,1,0,0,NA
"AT393nm",5,2.5,3,4,5,2,3,5,2,3,2,5,5,5,5,5,5,5,5,2,2,2,2,2,1,1,1,51,65,25,29,31,3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,1,66,"man","White","PHD","$20,001-$40,000",2,6,1,1,0,0,1,"Interesting study!"
"CH734ew",39,4.5,4,4,4,5,4,3.875,1.2,3,2.5,4,4,5,4,4,4,3,3,1,1,1,2,1,1,1,1,54,69,29,54,37,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,1,40,"man","Asian","4yearColl","$120,001-$140,000",7,4,0,1,0,0,1,NA
