"id","n_reasons","mrl","assigned_cluster","avg_cosine_to_assigned","second_best_cluster","second_best_avg_cosine","margin"
"EH114pg",1,1,1,0.482998136261099,7,0.322959634291548,0.160038501969551
"EL670hv",2,0.860183430466309,8,0.612397238645599,6,0.575724381765315,0.0366728568802843
"EU401qj",5,0.660721335938209,2,0.484467661138826,7,0.473102716848664,0.0113649442901621
"EY436xa",3,0.702958990916558,6,0.510498756944664,7,0.487651799653599,0.0228469572910648
"FB409hc",5,0.659520181527992,7,0.5360769898889,6,0.500002868119797,0.0360741217691031
"FG436ku",3,0.731166544129254,1,0.550528888174884,2,0.477525907093628,0.0730029810812552
"FK664ez",4,0.69283807077915,8,0.53209359038469,1,0.49814781378437,0.0339457766003204
"FP221xz",4,0.673549628626916,5,0.496808153067682,9,0.494189431808374,0.00261872125930712
"FT444df",5,0.636377557823994,5,0.514764611816189,1,0.457209129360434,0.0575554824557548
"FW806vy",7,0.601393575598746,3,0.466210602929566,1,0.450264237906467,0.0159463650230984
"FZ048vk",6,0.621866058624043,7,0.491618602108969,4,0.484807606639478,0.0068109954694911
"FZ397qe",5,0.651265300690807,3,0.539289210418511,9,0.481356155749765,0.0579330546687454
"FZ705zg",3,0.731609855593716,7,0.561437487853995,9,0.534975959169179,0.0264615286848167
"FZ844rf",3,0.806330984496883,3,0.579651307578921,9,0.53511445723942,0.0445368503395013
"GB721ld",4,0.743803457861874,4,0.529728196733694,8,0.515945418688478,0.013782778045216
"GD488jz",5,0.642980623417246,9,0.453282115137325,5,0.436652268296226,0.0166298468410991
"GK945xg",3,0.729829722716843,7,0.560984004814137,4,0.507017896064443,0.0539661087496945
"GM461qv",1,0.999999999999998,4,0.622490874581003,1,0.488220583613268,0.134270290967734
"GN635zf",4,0.688476678961918,1,0.503110103895189,2,0.493012105112177,0.010097998783012
"GP061si",8,0.65109529042352,8,0.52458639885618,4,0.485024194667389,0.0395622041887911
"GP371uf",4,0.629645281826816,2,0.465425337423036,5,0.432550569386948,0.0328747680360883
"GS727ti",6,0.62188352964319,9,0.53202690253579,1,0.458844799163961,0.0731821033718287
"GV585me",5,0.655698299584086,9,0.490252053857543,4,0.483542417924561,0.00670963593298107
"GY396ri",2,0.805284948725922,7,0.57729351059244,8,0.543096734397942,0.0341967761944983
"GZ031of",8,0.61958411841877,8,0.490156539941209,4,0.477227241241379,0.0129292986998298
"HF627ps",3,0.713557358892464,6,0.505187782968041,3,0.50271164062591,0.00247614234213078
"HH826sp",3,0.746010012802562,1,0.428512248102541,2,0.344888225454783,0.0836240226477575
"HL901lr",4,0.731788827229408,9,0.554647483212409,8,0.554447965865412,0.000199517346996969
"HT082zb",5,0.624328536614105,1,0.4790865120608,3,0.463137714776799,0.0159487972840009
"HT363bv",10,0.601596346759996,4,0.467523709215441,6,0.451566534969157,0.0159571742462842
"HT726ky",3,0.732493177284739,7,0.497982672273885,4,0.451854193032092,0.0461284792417931
"HU026cu",4,0.647351550305179,1,0.461410903859417,2,0.415271428217827,0.0461394756415893
"HW228bp",5,0.692307724209926,4,0.494294752308321,5,0.484570514680763,0.0097242376275582
"HY855nh",3,0.725374180581418,7,0.5542012859582,6,0.530073325516922,0.0241279604412786
"IB006kj",8,0.596570271261254,1,0.484330121199331,5,0.433429870264137,0.0509002509351939
"ID267zs",7,0.632956655753879,3,0.481849159356759,5,0.476620426975302,0.0052287323814571
"IF897yj",5,0.647226106543298,8,0.502566749452924,4,0.483784279845784,0.0187824696071398
"II888eo",5,0.695333243091494,2,0.549888924816601,5,0.453693944673931,0.0961949801426707
"IJ244nc",3,0.738107446925524,4,0.544487057833336,7,0.508309390792203,0.0361776670411336
"IL272mv",5,0.64515627861514,4,0.47684015324915,9,0.471972001853956,0.00486815139519448
"IR836xh",3,0.899309690485623,6,0.785336880535547,7,0.556263015220011,0.229073865315535
"IS906ba",3,0.707995039769634,1,0.483911961325321,8,0.444446716248131,0.0394652450771898
"IS917tz",2,0.810780594006576,7,0.58432243960566,2,0.522109477815936,0.0622129617897239
"IU153ys",5,0.689428890665725,1,0.498412473794569,9,0.498266323893255,0.000146149901314285
"IW068if",4,0.722849853884537,4,0.594363473660205,8,0.55971335776031,0.0346501158998951
