"","PID","mrl","mpcs"
"187","YH607ob",0.73885163890584,0.318852616470769
"188","YI996al",0.716088559584589,0.350377100223909
"189","YN948dh",0.680163057455115,0.328277230908362
"190","YO500ke",0.626269630396598,0.29091592494994
"191","YS026tx",0.654870274329775,0.286068845250943
"192","YS645yr",0.643748299832712,0.268014841921885
"193","YU161vn",0.675288408945867,0.3200180440708
"194","YU703oj",0.692626121824077,0.219596416949591
"195","YU707zw",0.713962563626191,0.387178177824604
"196","ZI289tp",0.605734820239642,0.296571858278613
"197","ZJ384mu",0.687722264256741,0.341202390943023
"198","ZW389ex",0.612372307412525,0.270833150033363
"199","ZY624zr",0.680790299450735,0.329344289782776
"200","ZZ991ci",0.762992881977996,0.47769767243636
