"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","lebe_cont","vote_sweep","vote_sweep_all","vote_other","vote_inc_all","vote_t2","vote_sweep_t2","vote_sweep_all_t2","vote_other_t2","vote_inc_all_t2","cand1_change","cand2_change","cand1_rightwing","cand2_rightwing","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","party_id","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"SD171ax","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",62,1,1,0,0,"Zohran Mamdani",1,1,0,0,5,1,2,6,2,6,2,6,"Yes","Zohran Mamdani",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,27,"woman","Asian","4yearColl","$120,001-$140,000",7,4,0,0,0,1,0,NA
"SF309gj","New Jersey","Monmouth","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",46,0,0,0,1,"Mikie Sherill",0,0,0,1,7,2,6,3.5,7,4,5,3,"Yes","Mikie Sherill",3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic","Dem",1,37,"woman","White","4yearColl","$120,001-$140,000",7,4,1,0,0,0,1,NA
"SF961oi","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",25,NA,0,1,0,"Jason Rantz",NA,0,1,0,2,5,1,1,1,1,1,1,"Yes","Jason Rantz",7,"Republican",NA,"Strong",NA,"Republican | Strong","Rep",1,56,"man","White","MA","$160,001-$180,000",9,5,1,1,1,0,0,"I feel frustrated that my mayoral choices are two progressive liberals and no way to ever get a republican or conservative candidate even on the ballot."
"SG246do","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",62,1,1,0,0,"Zohran Mamdani",1,1,0,0,7,1,4,4,1,7,7,1,"No","Zohran Mamdani",2,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,28,"man","Asian","4yearColl","$80,001-$100,000",5,4,0,1,0,1,0,NA
"SK441vn","New Jersey","Mercer","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",51,0,0,0,1,"Mikie Sherill",0,0,0,1,6,2,6,2,6,2,6,2,"Yes","Mikie Sherill",2,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,28,"woman","White","2yearColl","$100,001-$120,000",6,3,1,0,0,1,0,NA
"SL063eh","New Jersey","Middlesex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",40,0,0,0,1,"Mikie Sherill",0,0,0,1,5,1,6,3,6,3,6,3,"Not sure","Mikie Sherill",3,"No preference",NA,NA,"Closer to Democratic","Independent | Closer to Democratic","Dem",1,22,"man","Asian","4yearColl","Over $200,000",11,4,0,1,0,0,0,NA
"SL096ra","New Jersey","Monmouth","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",67,0,0,0,1,"Mikie Sherill",0,0,0,1,2,7,7,1,7,1,7,1,"Yes","Mikie Sherill",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong","Dem",1,72,"woman","Black or African American","2yearColl","$60,001-$80,000",4,3,0,0,0,1,0,NA
"SM684cd","New Jersey","Gloucester","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",47,NA,0,1,0,"Mikie Sherill",0,0,0,1,3,5,4.5,3,5,2,4,4,"Not sure",NA,4,"Independent",NA,NA,"Neither","Independent | Neither","Ind",1,38,"woman","White","2yearColl","$40,001-$60,000",3,3,1,0,0,0,1,"Thank You!"
"SP372tv","New Jersey","Hudson","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",63,0,0,0,1,"Mikie Sherill",0,0,0,1,2,7,4,4,7,1,1,7,"Yes","Mikie Sherill",2,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,32,"man","Hispanic, Latino, or Spanish origin","2yearColl","$40,001-$60,000",3,3,0,1,0,1,0,NA
"SP917fq","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",50,0,0,0,1,"Mikie Sherill",0,0,0,1,7,1,7,1.5,7,2,7,1,"Yes","Mikie Sherill",2,"Democrat","Strong",NA,NA,"Democrat | Strong","Dem",1,44,"woman","White","4yearColl","$140,001-$160,000",8,4,1,0,0,1,0,NA
