"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","lebe_cont","vote_sweep","vote_sweep_all","vote_other","vote_inc_all","cand1_change","cand2_change","cand1_rightwing","cand2_rightwing","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"UO961ot","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",76,1,1,0,0,5,1,1.5,7,1,7,2,7,"Yes","Zohran Mamdani",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,48,"woman","White","4yearColl","$120,001-$140,000",7,4,1,0,0,1,0,NA
"QQ067tr","New Jersey","Sussex","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",80,0,0,0,1,7,3,4,4,7,3,1,5,"Yes","Mikie Sherill",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,40,"woman","White","MA","$160,001-$180,000",9,5,1,0,0,1,0,NA
"JI840wh","New Jersey","Burlington","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",75,0,0,0,1,1,4,7,3,7,3,7,3,"Yes","Mikie Sherill",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,34,"woman","Black or African American","4yearColl","$140,001-$160,000",8,4,0,0,0,1,0,NA
"PE539as","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",60,1,1,0,0,6,1,1,6.5,1,6,1,7,"Yes","Zohran Mamdani",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,25,"woman","Hispanic, Latino, or Spanish origin","4yearColl","$40,001-$60,000",3,4,0,0,0,1,0,NA
"BS193wl","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",50,0,0,0,1,7,3,1,5,1,5,1,5,"Yes","Andrew Cuomo",5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,41,"woman","Asian","4yearColl","Over $200,000",11,4,0,0,1,0,0,NA
"KQ222uf","New Jersey","Mercer","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",60,NA,0,1,0,4,4,3.5,4,4,4,3,4,"Not sure",NA,4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,44,"man","White","4yearColl","$40,001-$60,000",3,4,1,1,0,1,0,NA
"IZ312ph","New Jersey","Hudson","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",100,0,0,0,1,7,1,7,2,7,3,7,1,"Yes","Mikie Sherill",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,26,"woman","Hispanic, Latino, or Spanish origin","4yearColl","$140,001-$160,000",8,4,0,0,0,1,0,NA
"RH831vh","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",21,0,0,0,1,2,3,1.5,3.5,1,3,2,4,"Not sure","Andrew Cuomo",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,28,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,1,0,0,NA
"YP865di","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",65,1,1,0,0,5,3,1,5,1,4,1,6,"No","Zohran Mamdani",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,24,"woman","White","GED","$20,001-$40,000",2,2,1,0,0,1,0,NA
"LM528vh","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",58,1,1,0,0,5,2,4,3,5,1,3,5,"Yes","Jack Ciattarelli",2,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,51,"woman","White","2yearColl","$180,001-$200,000",10,3,1,0,1,0,0,NA
"YB670no","New Jersey","Gloucester","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",100,0,0,0,1,1,7,4,4,7,1,1,7,"Yes","Mikie Sherill",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,63,"woman","Black or African American","MA","$80,001-$100,000",5,5,0,0,0,1,0,NA
"SZ637tv","Minnesota","Anoka","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",68,0,0,0,1,4,6,2.5,1,2,1,3,1,"Yes","Jacob Frey",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,30,"woman","White","MA","$60,001-$80,000",4,5,1,0,0,1,0,NA
"TR344zw","New Jersey","Camden","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",50,NA,0,1,0,4,4,4,4,4,4,4,4,"No",NA,4,"Independent",NA,NA,"Neither","Independent | Neither",1,19,"man","Asian","GED","$20,001-$40,000",2,2,0,1,0,0,1,NA
"WD090cs","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",33,1,1,0,0,7,1,1.5,6,1,7,2,5,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,24,"woman","Asian","4yearColl","$40,001-$60,000",3,4,0,0,0,1,0,NA
"QD952gz","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",75,1,1,0,0,6,2,1.5,4,1,3,2,5,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,34,"man","White","GED","$80,001-$100,000",5,2,1,1,0,1,0,NA
"BT936kg","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",50,0,0,0,1,7,5,2.5,2.5,1,4,4,1,"Yes","Andrew Cuomo",3,"Democrat","Strong",NA,NA,"Democrat | Strong",1,61,"woman","Black or African American","4yearColl","$80,001-$100,000",5,4,0,0,0,1,0,NA
"JV278ar","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",65,0,0,0,1,4,5,4.5,3.5,5,3,4,4,"Yes","Mikie Sherill",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,33,"woman","White","4yearColl","$120,001-$140,000",7,4,1,0,0,1,0,NA
"WV027ay","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",17,NA,0,1,0,4,4,4,4,3,6,5,2,"Yes",NA,2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,22,"woman","White","4yearColl","Over $200,000",11,4,1,0,0,1,0,NA
"JJ837or","New Jersey","Passaic","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",20,NA,0,1,0,3,3,4.5,5,5,5,4,5,"Not sure",NA,2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,25,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,1,0,NA
"YZ661jy","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",90,1,1,0,0,7,1,1,6,1,6,1,6,"Yes","Zohran Mamdani",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,61,"man","White","MA","$160,001-$180,000",9,5,1,1,0,1,0,NA
"MS097si","New Jersey","Bergen","Jack Ciattarelli","Mikie Sherill","Gubernatorial","New Jersey",20,NA,0,1,0,4,4,4,4,4,4,4,4,"Yes",NA,3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,20,"man","Asian","GED","$140,001-$160,000",8,2,0,1,0,1,0,NA
"JY880aq","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",85,1,1,0,0,5,1,1.5,6.5,1,6,2,7,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,27,"man","White","MA","$80,001-$100,000",5,5,1,1,0,1,0,NA
"MU463kz","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",30,1,1,0,0,3,1,1,6.5,1,6,1,7,"Yes","Zohran Mamdani",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,39,"woman","White","MA","$160,001-$180,000",9,5,1,0,0,1,0,NA
