"PID","lebe_cont","cond","cond_bin","choice","choice_sweep","party_forgroup","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","att_2","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"SW424im",20,"inparty",1,"CANDIDATE B",1,"Republican",6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,42,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,1,0,0,"nope"
"HY961hs",5,"outparty",0,"CANDIDATE A",0,"Democratic",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,43,"man","White","4yearColl","Over $200,000",11,4,1,1,0,1,0,NA
"UD687ov",41,"inparty",1,"CANDIDATE B",1,"Republican",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,34,"woman","White","4yearColl","$80,001-$100,000",5,4,1,0,1,0,0,NA
"UZ731gh",82,"outparty",0,"CANDIDATE A",0,"True Independent",4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,31,NA,"Asian","GED","$60,001-$80,000",4,2,0,NA,0,0,1,NA
"HX177dj",80,"outparty",0,"CANDIDATE B",1,"Democratic",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,50,"man","White","2yearColl","$0-$20,000",1,3,1,1,0,1,0,NA
"VT334vw",82,"inparty",1,"CANDIDATE A",0,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,38,"woman","White","2yearColl","$0-$20,000",1,3,1,0,0,1,0,NA
"KL524ya",74,"outparty",0,"CANDIDATE B",1,"Republican",4,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,28,"woman","White","4yearColl","$80,001-$100,000",5,4,1,0,0,0,1,NA
"VU342xq",0,"outparty",0,"CANDIDATE B",1,"Republican",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,53,"woman","White","2yearColl","$40,001-$60,000",3,3,1,0,1,0,0,"no comments"
"KG560dc",34,"inparty",1,"CANDIDATE A",0,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,70,"woman","White","GED","$120,001-$140,000",7,2,1,0,0,1,0,NA
"GY011xq",56,"inparty",1,"CANDIDATE A",0,"Democratic",2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,46,"woman","White","2yearColl","$20,001-$40,000",2,3,1,0,0,0,1,NA
"RB326bn",70,"inparty",1,"CANDIDATE A",0,"Republican",7,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,42,"man","Hispanic, Latino, or Spanish origin","4yearColl","$120,001-$140,000",7,4,0,1,1,0,0,"why were they Depublican?!"
"GM461uf",20,"inparty",1,"CANDIDATE A",0,"Democratic",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,40,"man","White","MA","$140,001-$160,000",8,5,1,1,0,1,0,NA
"YF144ui",31,"outparty",0,"CANDIDATE A",0,"Democratic",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,43,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,1,0,NA
"AT329lp",15,"outparty",0,"CANDIDATE A",0,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,51,"woman","White","MA","$140,001-$160,000",8,5,1,0,0,1,0,"None"
"FH613az",28,"inparty",1,"CANDIDATE A",0,"True Independent",4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,47,"man","White","4yearColl","Over $200,000",11,4,1,1,0,0,1,NA
"LN517hd",24,"outparty",0,"CANDIDATE B",1,"Republican",4,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,33,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,0,0,1,NA
"PR667kh",78,"inparty",1,"CANDIDATE A",0,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,39,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,1,0,NA
"GK098gr",65,"outparty",0,"CANDIDATE A",0,"Democratic",2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,36,"woman","multiracial","4yearColl","$20,001-$40,000",2,4,0,0,0,0,1,NA
"RL064ob",90,"inparty",1,"CANDIDATE B",1,"Democratic",4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,55,"man","White","GED","$0-$20,000",1,2,1,1,0,0,1,NA
"AM068br",0,"outparty",0,"CANDIDATE A",0,"Democratic",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,64,"woman","White","4yearColl","$100,001-$120,000",6,4,1,0,0,1,0,NA
"TP083ol",40,"inparty",1,"CANDIDATE B",1,"True Independent",4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,39,"woman","multiracial","4yearColl","$180,001-$200,000",10,4,0,0,0,0,1,"Thanks for this opportunity!"
"RO054wa",41,"outparty",0,"CANDIDATE B",1,"Republican",6,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,45,"woman","White","2yearColl","$20,001-$40,000",2,3,1,0,1,0,0,NA
"CM264vy",20,"outparty",0,"CANDIDATE A",0,"Democratic",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,58,"man","White","MA","$100,001-$120,000",6,5,1,1,0,1,0,"All good thanks"
"NX839ff",70,"inparty",1,"CANDIDATE A",0,"Democratic",3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,42,"man","White","4yearColl","$60,001-$80,000",4,4,1,1,0,0,1,"Best of luck with your research!"
