"PID","STATE","COUNTY","CAND_1","CAND_2","RACETYPE","PLACENAME","race_num","cand1_change","cand2_change","cand1_cult","cand2_cult","cand1_econ","cand2_econ","vote_turnout","vote_who","ideo","party_gen","party_dem","party_rep","party_ind","party_followup","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","feedback"
"AF869cp","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,4,1,1,5,1,6,"Yes","Zohran Mamdani",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,20,"man","White","GED","$40,001-$60,000",3,2,1,1,0,1,0,NA
"ID249vm","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,3,1,3,1,4,"Yes","Andrew Cuomo",5,"Republican",NA,"Strong",NA,"Republican | Strong",1,30,"woman","Black or African American","4yearColl","$80,001-$100,000",5,4,0,0,1,0,0,NA
"CM179vs","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,2,1,3,3,7,"Yes","Zohran Mamdani",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,38,"woman","White","4yearColl","$160,001-$180,000",9,4,1,0,0,1,0,NA
"GJ501yp","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,5,3,1,5,3,5,"Yes","Zohran Mamdani",4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,39,"woman","Hispanic, Latino, or Spanish origin","2yearColl","$20,001-$40,000",2,3,0,0,0,1,0,NA
"EN285oq","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,2,6,1,4,1,6,"Yes","Zohran Mamdani",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,32,"man","Hispanic, Latino, or Spanish origin","4yearColl","$40,001-$60,000",3,4,0,1,0,1,0,NA
"HT420ni","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,5,2,2,4,2,5,"No","Zohran Mamdani",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,42,"man","Asian","4yearColl","$20,001-$40,000",2,4,0,1,0,1,0,NA
"HY972ei","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,3,4,1,7,1,7,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,30,"woman","White","4yearColl","$80,001-$100,000",5,4,1,0,0,1,0,NA
"YE686ku","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,4,1,3,2,4,"Yes","Andrew Cuomo",4,"No preference",NA,NA,"Neither","Independent | Neither",1,48,"woman","Asian","4yearColl","$120,001-$140,000",7,4,0,0,0,0,0,NA
"IQ315lo","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,5,4,4,3,5,3,"Not sure",NA,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,37,"man","White","GED","$40,001-$60,000",3,2,1,1,0,0,1,NA
"FG306lf","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,5,2,2,5,2,6,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,35,"woman","White","PHD","$120,001-$140,000",7,6,1,0,0,1,0,NA
"VQ726qs","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,1,4,6,2,6,4,"Yes","Katie Wilson",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,47,"man","White","2yearColl","$180,001-$200,000",10,3,1,1,0,1,0,NA
"TW641jd","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,6,3,2,4,5,3,"Yes","Andrew Cuomo",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,65,"man","White","4yearColl","$160,001-$180,000",9,4,1,1,0,1,0,NA
"DX672ai","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,2,5,4,2,5,2,"Yes",NA,2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,35,"man","White","MA","$180,001-$200,000",10,5,1,1,0,1,0,NA
"OU145wc","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,3,2,5,1,5,"Not sure",NA,5,"Independent",NA,NA,"Neither","Independent | Neither",1,51,"man","White","GED","$120,001-$140,000",7,2,1,1,0,0,1,NA
"LV305zj","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,2,6,3,1,5,2,"Yes","Jacob Frey",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,23,"man","White","4yearColl","$80,001-$100,000",5,4,1,1,0,1,0,NA
"CJ980vb","Washington","Kitsap","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,1,6,3,1,5,1,"No",NA,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,40,"man","White","4yearColl","$180,001-$200,000",10,4,1,1,0,1,0,NA
"JI263kv","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,6,4,3,6,5,2,"Yes","Justin Bibb",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,32,"man","White","GED","$40,001-$60,000",3,2,1,1,0,1,0,NA
"FU445dn","Washington","Douglas","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,1,7,5,2,2,5,"Not sure","Bruce Harrell",6,"Republican",NA,"Strong",NA,"Republican | Strong",1,52,"man","White","MA","$120,001-$140,000",7,5,1,1,1,0,0,NA
"HJ043jk","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,4,1,1,4,1,5,"Yes","Zohran Mamdani",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,40,"man","Black or African American","GED","$60,001-$80,000",4,2,0,1,0,1,0,"N/A"
"IZ644ku","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,5,2,1,5,2,6,"Not sure","Zohran Mamdani",1,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,30,"man","Black or African American","4yearColl","Over $200,000",11,4,0,1,0,0,1,NA
"HW911ic","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,2,7,7,5,7,4,"Yes","Zohran Mamdani",3,"Independent",NA,NA,"Neither","Independent | Neither",1,23,"woman","Black or African American","MA","$40,001-$60,000",3,5,0,0,0,0,1,NA
"WG122mq","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,6,3,2,5,3,5,"Yes","Zohran Mamdani",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,49,"man","White","4yearColl","$120,001-$140,000",7,4,1,1,0,1,0,NA
"HO988uv","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,5,5,2,1,3,1,"Yes","Jacob Frey",5,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,20,"man","Asian","GED","Over $200,000",11,2,0,1,0,0,1,NA
"OE138be","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,6,2,3,5,2,5,"Yes","Zohran Mamdani",3,"No preference",NA,NA,"Neither","Independent | Neither",1,20,"man","Asian","GED",NA,NA,2,0,1,0,0,0,NA
"TE373js","New York","Richmond","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,5,1,1,7,3,6,"Yes","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,31,"man","White","4yearColl","$120,001-$140,000",7,4,1,1,0,1,0,NA
"LQ254ia","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,4,2,2,4,3,6,"Yes","Zohran Mamdani",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,51,"man","Asian","4yearColl","Over $200,000",11,4,0,1,0,1,0,NA
"RT297ie","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,6,5,3,3,6,5,"Yes","Zohran Mamdani",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,37,"man","Asian","4yearColl","$100,001-$120,000",6,4,0,1,0,1,0,"interesting study"
"ZD164ft","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,1,1,3,2,4,"Yes","Zohran Mamdani",1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,29,NA,"multiracial","4yearColl","$40,001-$60,000",3,4,0,NA,0,1,0,NA
"TZ001cf","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,3,1,5,2,6,"Yes","Zohran Mamdani",1,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,30,"woman","multiracial","4yearColl","$60,001-$80,000",4,4,0,0,0,0,1,NA
"UW765ub","New York","Bronx","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,4,4,5,3,4,5,"No",NA,4,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,27,"woman","Hispanic, Latino, or Spanish origin","4yearColl","$80,001-$100,000",5,4,0,0,0,0,1,NA
"VL276kd","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,4,1,2,1,5,"Yes","Curtis Sliwa",7,"Republican",NA,"Strong",NA,"Republican | Strong",1,56,"woman","White","4yearColl","$0-$20,000",1,4,1,0,1,0,0,"You only included Mamdami and Cuomo. There's another candidate in the race: Curtis Sliwa, a Republican. Why did you omit him?"
"DN645wg","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,5,6,1,6,2,6,"No","I would vote for Justin Bibb, but while I live in Cuyahoga County, I do not live in Cleveland.",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,61,"woman","White","GED","$20,001-$40,000",2,2,1,0,0,1,0,"I do pay some attention to Cleveland politics, because what happens in Cleveland affects the entire area, but I do live in a suburb, so we have our own mayor to vote for."
"PN938ad","New York","Kings","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,1,1,4,1,5,"Yes","Zohran Mamdani",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,35,"man","Middle Eastern or North African","4yearColl","$140,001-$160,000",8,4,0,1,0,1,0,NA
"GC823ej","New York","Bronx","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,4,4,4,4,4,4,"Yes",NA,4,"Independent",NA,NA,"Neither","Independent | Neither",1,55,"woman","Other (please specify)","4yearColl","$60,001-$80,000",4,4,0,0,0,0,1,NA
"KI309vc","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,5,1,1,5,2,5,"Yes","Zohran Mamdani",2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,30,"man","White","MA","$80,001-$100,000",5,5,1,1,0,0,1,NA
"IF770lq","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,3,6,3,2,4,3,"No","Jacob Frey",3,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,37,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,0,1,NA
"VM060th","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,4,5,5,3,3,5,"No","Katie Wilson",4,"Independent",NA,NA,"Neither","Independent | Neither",1,39,"man","White","2yearColl","$40,001-$60,000",3,3,1,1,0,0,1,NA
"JQ684ci","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,3,7,3,2,4,1,"Yes",NA,2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,77,"man","White","MA","Over $200,000",11,5,1,1,0,1,0,"Just thanks for the opportunity to participate in this study"
"QD929cy","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,3,2,2,4,3,4,"Yes","Justin Bibb",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,47,"woman","White","MA","$140,001-$160,000",8,5,1,0,0,1,0,NA
"AU304rc","New York","Queens","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,7,4,1,4,1,5,"No","Zohran Mamdani",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,45,"woman","Asian","4yearColl","$160,001-$180,000",9,4,0,0,0,1,0,NA
"EF120di","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,4,6,6,4,6,4,"Yes","Jacob Frey",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,29,"man","Black or African American","MA","$140,001-$160,000",8,5,0,1,0,1,0,NA
"GW372yp","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,3,5,4,2,5,4,"Yes","Katie Wilson",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,47,"woman","White","2yearColl","Over $200,000",11,3,1,0,0,1,0,NA
"PF398wu","Washington",NA,"Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,3,1,3,7,4,2,"Yes","Katie Wilson",7,"Democrat","Strong",NA,NA,"Democrat | Strong",1,26,"woman","White","4yearColl","$20,001-$40,000",2,4,1,0,0,1,0,NA
"GF860kz","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,3,5,2,1,3,1,"Yes","Katie Wilson",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,32,"man","multiracial","MA","$180,001-$200,000",10,5,0,1,0,1,0,"N/A"
"GV471bb","New York","New York","Zohran Mamdani","Andrew Cuomo","Mayoral","New York City",3,6,1,1,5,2,7,"Not sure","Zohran Mamdani",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,22,"woman","Asian","GED",NA,NA,2,0,0,0,1,0,NA
"VT295ku","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,5,6,1,1,2,1,"Yes","Anyone who is more conservative than these two socialists.",7,"Republican",NA,"Strong",NA,"Republican | Strong",1,56,"man","White","MA","$160,001-$180,000",9,5,1,1,1,0,0,NA
"WD828tl","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,2,4,3,5,3,5,"Yes","Katie Wilson",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,37,"woman","White","4yearColl","$160,001-$180,000",9,4,1,0,0,1,0,NA
"VI028vr","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,7,5,1,5,1,5,"No","Katie Wilson",5,"No preference",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,54,"man","White","GED","$0-$20,000",1,2,1,1,0,0,0,NA
"XL013jx","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,4,6,2,1,4,6,"No","Jacob Frey",5,"Democrat","Strong",NA,NA,"Democrat | Strong",1,61,"woman","White","2yearColl","$40,001-$60,000",3,3,1,0,0,1,0,NA
"MI342dm","Massachusetts","Berkshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EF250ic","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,4,4,4,4,5,5,"Not sure","Bruce Harrell",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,29,"man","Asian","4yearColl","$100,001-$120,000",6,4,0,1,0,1,0,NA
"UW100ez","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,1,1,4,7,7,7,"Not sure","Jacob Frey",4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,62,"man","Other (please specify)","2yearColl","$0-$20,000",1,3,0,1,0,0,1,"Omar's campaign is sensationalism. If he were to win, he would support conservative views because his goal is to ""stop"" more Somalis from immigrating here and to dismantle what those who are here have built.  Thank You for the opportunity to participate!"
"KD096qw","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,1,5,6,3,6,3,"Yes",NA,1,"Other party",NA,NA,"Neither","Independent | Neither",1,35,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,0,0,NA
"OT742yt","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,1,1,1,1,1,1,"Yes","Whoever is the Republican.",7,"Republican",NA,"Strong",NA,"Republican | Strong",1,43,"man","White","4yearColl","$20,001-$40,000",2,4,1,1,1,0,0,NA
"OY942ip","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,6,4,4,5,7,4,"Yes","Justin Bibb",4,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,43,"man","Black or African American","4yearColl","$60,001-$80,000",4,4,0,1,0,1,0,"thanks"
"ZM837ye","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,4,3,3,3,4,5,"No","Laverne Gore",2,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,62,"man","White","GED","$0-$20,000",1,2,1,1,0,1,0,NA
"ZE679fl","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,2,5,3,2,4,2,"Yes","Omar Fateh",2,"Democrat","Strong",NA,NA,"Democrat | Strong",1,45,"man","White","GED","$40,001-$60,000",3,2,1,1,0,1,0,NA
"RA068ac","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,4,3,3,3,4,4,"Yes",NA,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,38,"woman","White","2yearColl","$20,001-$40,000",2,3,1,0,0,1,0,"All of the ""don't rank Jacob Frey"" talk is probably going to make me vote for Jacob Frey to be honest...."
"FW447rx","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,1,1,3,2,5,5,"Not sure","Jacob Frey",1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,26,"woman","Black or African American","4yearColl","$60,001-$80,000",4,4,0,0,0,1,0,NA
"JF908ec","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,1,4,7,7,4,4,"No",NA,4,"No preference",NA,NA,"Neither","Independent | Neither",1,35,"man","White","4yearColl","$140,001-$160,000",8,4,1,1,0,0,0,NA
"HC995pz","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,2,6,5,2,5,3,"Yes","Omar Fateh",1,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,22,"woman","White","2yearColl","$20,001-$40,000",2,3,1,0,0,0,1,NA
"EL448tg","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,4,5,4,4,4,4,"Yes","Katie Wilson",2,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,46,"man","multiracial","2yearColl","$0-$20,000",1,3,0,1,0,0,1,NA
"YG688ir","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,6,4,2,4,3,4,"Yes",NA,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,33,"woman","White","GED","$20,001-$40,000",2,2,1,0,0,1,0,NA
"CM999tc","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,4,6,1,1,4,3,"Not sure",NA,4,"Independent",NA,NA,"Neither","Independent | Neither",1,24,"man","Hispanic, Latino, or Spanish origin","4yearColl","$100,001-$120,000",6,4,0,1,0,0,1,NA
"PB872lu","Washington","King","Bruce Harrell","Katie Wilson","Mayoral","Seattle",4,2,7,3,1,3,1,"Yes","Bruce Harrell",4,"Republican",NA,"Strong",NA,"Republican | Strong",1,50,"man","White","4yearColl","$140,001-$160,000",8,4,1,1,1,0,0,NA
"DW605gl","Ohio","Cuyahoga","Justin Bibb","Laverne Gore","Mayoral","Cleveland",6,5,4,2,4,5,5,"Yes","Justin Bibb",3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,60,"man","Black or African American","4yearColl","$20,001-$40,000",2,4,0,1,0,1,0,NA
"HO506hp","Minnesota","Hennepin","Jacob Frey","Omar Fateh","Mayoral","Minneapolis",5,4,4,4,4,4,4,"Not sure",NA,1,"Democrat","Strong",NA,NA,"Democrat | Strong",1,25,"man","White","GED","$80,001-$100,000",5,2,1,1,0,1,0,NA
