"id","n_reasons","mrl","assigned_cluster","avg_cosine_to_assigned","second_best_cluster","second_best_avg_cosine","margin"
"IO162aa",5,0.684757711988994,5,0.56491699176696,8,0.490565490915004,0.0743515008519564
"IO357xm",10,0.59288858192155,2,0.486585895342636,3,0.465409566546155,0.0211763287964812
"IP332ko",5,0.637808938131256,3,0.475832105350574,9,0.453333035467051,0.0224990698835226
"IS616rd",3,0.800747649556128,7,0.641438472148224,5,0.462596213327539,0.178842258820685
"IU374bt",8,0.628849593645656,7,0.543462821218766,5,0.494408255845026,0.0490545653737406
"IU546pq",2,0.779676207939325,2,0.538706169311611,7,0.477030952232611,0.0616752170790003
"IW372py",5,0.668232769099075,8,0.53482214078368,5,0.499998562235678,0.0348235785480014
"IW499fz",3,0.713277790826744,9,0.512740920191844,6,0.494617145214709,0.0181237749771349
"IX401ko",5,0.637704624311758,2,0.495636925268421,5,0.493095449619465,0.00254147564895624
"IX507uz",4,0.696336524670853,9,0.517228343197649,8,0.51638771304562,0.00084063015202962
"IZ416xc",3,0.702951060761962,1,0.50510483739526,8,0.439529603655522,0.065575233739738
"JA179ax",2,0.786388731599593,6,0.610276220794526,2,0.490561210996171,0.119715009798355
"JA319td",5,0.662501525217458,8,0.470252233968507,5,0.453343529550249,0.0169087044182583
"JA876vv",4,0.673243837002938,5,0.48364127689338,3,0.475646082048197,0.0079951948451833
"JB533xn",5,0.686458390608065,5,0.512801653128633,8,0.442828808510463,0.0699728446181699
"JB547xo",3,0.791378327503175,8,0.50592305104558,2,0.448848531933576,0.0570745191120041
"JD412gi",1,1,8,0.536832284456836,2,0.411250644113516,0.12558164034332
"JH524fk",2,0.782948779129076,6,0.487255264234684,10,0.453554841559679,0.0337004226750042
"JI806hr",6,0.648206369247518,9,0.481506286546169,4,0.474547754571984,0.00695853197418478
"JJ292ry",3,0.761198460582346,2,0.505216149676251,9,0.500268994490537,0.00494715518571354
"JN278wa",3,0.706094937441463,5,0.51559234593114,7,0.489213134772618,0.0263792111585219
"JO695wv",4,0.700131743536483,8,0.567864416714365,2,0.448761314493696,0.119103102220669
"JP480eo",6,0.640746823318983,8,0.500075081847968,2,0.454788037262222,0.045287044585746
"JP598hz",4,0.736160759270031,7,0.587165743635952,4,0.533260000545594,0.0539057430903573
"JS242ky",4,0.684564006138471,3,0.561826378508486,7,0.437207720173477,0.124618658335009
"JU160ak",5,0.672734114019452,7,0.523445984634764,2,0.49211547227099,0.0313305123637739
"JU287wd",3,0.721986329178142,3,0.589713477647176,2,0.49131862680102,0.0983948508461562
"JX559va",4,0.712364839345786,8,0.555402511178963,5,0.509927351398388,0.045475159780575
"KE207bj",5,0.684178269856572,7,0.554624651027906,4,0.533366130586064,0.0212585204418414
"KF132mt",4,0.704939838262695,2,0.545699119711678,3,0.405215271749097,0.140483847962581
"KG807um",3,0.683049494527981,7,0.498047671589983,5,0.422873880244046,0.0751737913459372
"KH798mq",2,0.780088595365188,2,0.550753132497005,8,0.405200264262481,0.145552868234524
"KM917ot",5,0.656700364439172,7,0.503610796723811,1,0.492896652260202,0.0107141444636084
"KO328cu",4,0.683086286059995,3,0.469994053010333,7,0.457865494049104,0.012128558961229
"KO949du",6,0.647796762690192,8,0.532831705962024,5,0.524880493900039,0.00795121206198435
"KR400wk",4,0.677297005130636,2,0.495033778301835,9,0.44588732016179,0.0491464581400443
"KR402op",3,0.764995457179193,9,0.53861885303194,2,0.507155204889345,0.0314636481425954
"KS340ni",3,0.728994235527048,2,0.521531417810932,7,0.521235760239988,0.00029565757094363
"KU796fq",4,0.677389554847413,8,0.486464957906604,10,0.484731909080799,0.00173304882580566
"KV537yv",4,0.707246768636994,2,0.537060141255212,7,0.525869489899468,0.0111906513557439
"LB814px",3,0.729045099542021,8,0.552388518139621,10,0.524606483192397,0.027782034947224
"LC154ox",10,0.60259958859264,4,0.514764615355627,5,0.477038157592122,0.0377264577635055
"LJ614tv",3,0.731637847584986,8,0.539398895926675,5,0.50890162862823,0.0304972672984445
"LM203lv",4,0.733963835416866,4,0.60829685264139,7,0.545705396588144,0.0625914560532461
"LM278pg",5,0.634941636436637,7,0.506986582276659,5,0.477232540966114,0.0297540413105444
"LQ995pc",3,0.704326546191323,6,0.517611062826849,9,0.43696576059242,0.0806453022344291
"LU555hy",5,0.629648334969795,2,0.490456103348446,3,0.46245519082268,0.0280009125257664
"LV604te",3,0.71799006221001,10,0.516557033555578,7,0.500367538041197,0.0161894955143812
"LW015de",5,0.644028566626375,8,0.540827254427693,5,0.470414516116213,0.0704127383114795
"LX127xm",2,0.77909973507717,5,0.404210380742745,7,0.399817399092559,0.00439298165018653
"LX473nm",10,0.642833755941606,9,0.549249125472551,4,0.402348709019084,0.146900416453467
"LY160xl",2,0.80793402947776,5,0.523102180417514,8,0.482507063371373,0.0405951170461401
"LY560up",3,0.745442210917549,9,0.531628069939413,2,0.516327372713664,0.0153006972257483
"LY875eo",4,0.711576114542006,7,0.592220861467392,5,0.465487727149867,0.126733134317525
"ME491pe",3,0.734259084476866,5,0.562884679503304,8,0.518975175968355,0.0439095035349492
"MG377ya",1,0.999999999999999,2,0.437874361948472,8,0.434307212999699,0.00356714894877319
"MI213hv",5,0.638427100913679,9,0.483994019190014,10,0.478294716456641,0.00569930273337305
"ML138al",6,0.617946210688878,8,0.48550991741911,7,0.457700622745872,0.0278092946732381
"MP755no",3,0.753797688991669,8,0.517877426227516,5,0.477989908231365,0.0398875179961514
"MQ318vw",4,0.644699960793498,6,0.519287399562122,2,0.383670154599343,0.135617244962779
"MR145rr",5,0.760403069818299,7,0.669138918216203,5,0.494244008608624,0.174894909607578
"MR969ki",5,0.642549092357358,2,0.520839942175713,3,0.476775542045969,0.0440644001297442
"MS642bk",4,0.699782015247831,2,0.571867511005829,8,0.475892424488911,0.0959750865169179
"MU703vd",5,0.628448380148975,5,0.470963125796744,8,0.431515958091511,0.039447167705233
